Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;27575 - Índice de Commodities - Brasil - Agropecuária - Índice
05/2017;0,31 ;171,68
06/2017;-0,23 ;171,84
07/2017;0,24 ;168,11
08/2017;0,19 ;160,08
09/2017;0,16 ;161,96
10/2017;0,42 ;166,48
11/2017;0,28 ;176,05
12/2017;0,44 ;173,02
01/2018;0,29 ;171,89
02/2018;0,32 ;174,84
03/2018;0,09 ;171,09
04/2018;0,22 ;174,02
05/2018;0,40 ;188,25
06/2018;1,26 ;192,98
07/2018;0,33 ;195,08
08/2018;-0,09 ;196,26
09/2018;0,48 ;206,97
10/2018;0,45 ;194,34
11/2018;-0,21 ;195,76
12/2018;0,15 ;201,44
01/2019;0,32 ;195,69
02/2019;0,43 ;194,25
03/2019;0,75 ;196,56
04/2019;0,57 ;198,98
05/2019;0,13 ;193,74
06/2019;0,01 ;189,84
07/2019;0,19 ;187,91
08/2019;0,11 ;187,31
09/2019;-0,04 ;194,95
10/2019;0,10 ;204,22
11/2019;0,51 ;216,67
12/2019;1,15 ;220,39
01/2020;0,21 ;224,73
02/2020;0,25 ;226,97
03/2020;0,07 ;222,98
04/2020;-0,31 ;226,36
05/2020;-0,38 ;254,25
06/2020;0,26 ;234,64
07/2020;0,36 ;249,40
08/2020;0,24 ;268,54
09/2020;0,64 ;273,79
10/2020;0,86 ;289,01
11/2020;0,89 ;290,40
12/2020;1,35 ;282,23
01/2021;0,25 ;314,23
02/2021;0,86 ;331,74
03/2021;0,93 ;346,53
04/2021;0,31 ;350,90
05/2021;0,83 ;350,52
06/2021;0,53 ;332,49
07/2021;0,96 ;347,42
08/2021;0,87 ;362,39
09/2021;1,16 ;360,43
10/2021;1,25 ;390,44
11/2021;0,95 ;407,22
12/2021;0,73 ;409,88
01/2022;0,54 ;415,90
02/2022;1,01 ;406,76
03/2022;1,62 ;398,94
04/2022;1,06 ;398,00
05/2022;0,47 ;414,86
06/2022;0,67 ;405,45
07/2022;-0,68 ;393,98
08/2022;-0,36 ;393,51
09/2022;-0,29 ;404,05
10/2022;0,59 ;395,65
11/2022;0,41 ;403,66
12/2022;0,62 ;395,23
01/2023;0,53 ;396,44
02/2023;0,84 ;404,27
03/2023;0,71 ;393,72
04/2023;0,61 ;391,43
05/2023;0,23 ;378,53
06/2023;-0,08 ;378,28
07/2023;0,12 ;384,11
08/2023;0,23 ;393,00
09/2023;0,26 ;405,16
10/2023;0,24 ;408,60
11/2023;0,28 ;390,71
12/2023;0,56 ;375,94
01/2024;0,42 ;379,88
02/2024;0,83 ;403,95
03/2024;0,16 ;408,65
04/2024;0,38 ;422,94
05/2024;0,46 ;414,36
06/2024;0,21 ;440,44
07/2024;0,38 ;447,54
08/2024;-0,02 ;435,97
09/2024;0,44 ;448,98
10/2024;0,56 ;465,39
11/2024;0,39 ;490,78
12/2024;0,52 ;531,59
01/2025;0,16 ;537,72
02/2025;1,31 ;510,22
03/2025;0,56 ;484,87
04/2025;0,43 ;494,59
05/2025;0,26 ;491,25
06/2025;0,24 ;476,21
07/2025;0,26 ;470,99
08/2025;-0,11 ;474,36
09/2025;0,48 ;470,65
10/2025;0,09 ;460,31
11/2025;0,18 ;435,32
12/2025;0,33 ;450,68
01/2026;0,33 ;447,12
02/2026;0,70 ;424,21
03/2026;0,88 ;433,17
Fonte;IBGE;BCB-Depec
