BRA_Inflacao_Global_Pct,BRA_Agro_Share_PIB_Pct,BRA_PIB_Per_Capita_USD,BRA_Populacao_Total,WLD_Inflacao_Global_Pct,WLD_Agro_Share_PIB_Pct,WLD_PIB_Per_Capita_USD,WLD_Populacao_Total,Selic_Meta_Pct,Dolar_BRL_Media,IPCA_Pct,IC_Br_Agro_BRL
7.04414105947265,4.7504599720911,3766.54786339835,174018282.0,,3.38446312579542,5501.26421816454,6161884811.0,17.60314207650273,1.8294991999999999,0.48583333333333334,59.931666666666665
6.84035902487523,4.80104301895508,3176.28975052524,176301203.0,,3.36219434276141,5394.68512526724,6245112906.0,17.46027397260274,2.3522163999999997,0.6183333333333333,71.83583333333333
8.45016437708331,5.47527489476281,2855.94017137049,178503484.0,,3.32073974983421,5530.02104262965,6327557399.0,19.220547945205478,2.9309355731225297,0.9916666666666667,85.89833333333333
14.7149197228147,6.16718438742418,3090.6068907839,180622688.0,,3.30962700753368,6122.43446098027,6409750441.0,23.515068493150686,3.0715260869565215,0.7458333333333332,103.49000000000001
6.59718509985963,5.66531157678895,3663.82262497811,182675143.0,,3.35185608558773,6811.48195762269,6492769815.0,16.377732240437158,2.9257265873015874,0.6124999999999999,106.92166666666667
6.86953720898964,4.65116882266178,4827.78165890291,184688101.0,,3.22585016627159,7284.31331023762,6575841506.0,19.137671232876713,2.4340872509960163,0.46249999999999997,95.38
4.18356812896909,4.37004377895807,5934.14561857454,186653106.0,,3.19904026756852,7796.34931015336,6659977025.0,15.313698630136987,2.1771072289156628,0.25833333333333336,99.2025
3.64127299102652,4.41691543617235,7409.69003822861,188552320.0,,3.37766873086202,8677.57102707632,6744489399.0,12.044520547945206,1.9483076000000001,0.3641666666666667,92.80083333333334
5.67859390284168,4.56785118104723,8908.33338467948,190367302.0,,3.54020201944781,9415.35786125181,6830513541.0,12.450136612021858,1.8374673228346456,0.4791666666666667,101.19083333333333
4.88803479876798,4.47677399214453,8678.6584730653,192079951.0,,3.65443373456439,8816.8105604156,6916589116.0,10.143150684931507,1.9935492,0.3525,97.45
5.03872690108074,4.11575648647055,11403.2840038694,193701929.0,,3.86441493626135,9542.72886249208,7001266876.0,9.902054794520549,1.759307171314741,0.48,101.675
6.6364496221309,4.34203412828906,13396.6263158041,195284734.0,,4.00501647340603,10485.1771943036,7087120034.0,11.756164383561643,1.6746342629482072,0.5266666666666667,126.30416666666667
5.40349914036997,4.16832822424109,12521.7238454434,196876111.0,,4.03964332103404,10583.9966715989,7176929184.0,8.629781420765028,1.9549916334661355,0.4741666666666666,131.55166666666668
6.204310666401,4.50688618165956,12458.8903396625,198478299.0,,4.18166174789629,10739.8911620948,7265892332.0,8.292465753424658,2.160507509881423,0.48,135.50666666666666
6.32904015516138,4.32561053877362,12274.9941630213,200085127.0,,4.16465172320917,10885.7966024868,7354068030.0,10.95890410958904,2.35471581027668,0.5191666666666667,149.20916666666668
9.02990102416136,4.31914942931221,8936.1955889444,201675532.0,,4.1975266807732,10161.9445773233,7441677465.0,13.473287671232876,3.338696,0.8491666666666666,185.7825
8.73914352329393,4.89135358721066,8836.28546025694,203218114.0,,4.13730120082578,10204.9287763386,7528879985.0,14.17896174863388,3.483327091633466,0.51,187.96
3.44637335032669,4.6005916952048,10080.5078722821,204703445.0,,4.10190289387195,10747.764306505,7614523410.0,10.154794520547945,3.1925453815261045,0.24250000000000002,169.09833333333333
3.66485028376728,4.4203993034602,9300.66072904004,206107261.0,,3.9337525774109,11309.3830773178,7697233736.0,6.580821917808219,3.6557844,0.3075,188.57666666666668
3.73297621216893,4.2050140951087,9029.83304401079,207455459.0,,4.06809310777644,11376.0818134476,7778008621.0,6.035616438356165,3.946118577075099,0.35250000000000004,198.3758333333333
3.21176803803376,5.7114851151592,7074.19407495707,208660842.0,,4.41058876301908,10937.6846205191,7854748424.0,2.8866120218579234,5.157772908366534,0.36999999999999994,253.60833333333335
8.30165975585673,6.55876261207381,7972.53696080695,209550294.0,,4.32946169434329,12390.6686716727,7920514854.0,4.537671232876712,5.395560557768924,0.8024999999999999,358.68249999999995
9.28010608956872,5.76747490842218,9281.33282136864,210306415.0,,4.29021425382999,12798.1658465319,7989545217.0,12.547260273972602,5.165482470119522,0.4716666666666667,402.1658333333333
4.59356282283203,6.02306023514157,10377.5897719195,211140729.0,,4.12661376471439,13236.7163960917,8064057930.0,13.296575342465754,4.995348192771084,0.3775,391.68249999999995
4.36746407652336,5.7522764094249,10310.5488778166,211998573.0,,4.04871859432626,13631.2043097215,8141808945.0,10.940573770491802,5.392016205533597,0.3941666666666667,440.8725
,,,,,,,,14.417123287671233,5.585500000000001,0.3491666666666667,479.76416666666665
